original_text,label,label_name,paraphrase,similarity
"Fired Ecuador justices are barred from offices QUITO, Ecuador -- Ecuadorean police barred Supreme Court judges from returning to their offices yesterday after the judges tried to defy a decision by Congress to fire them for bias against President Lucio Gutierrez.",0,World,Ecuadorean police have banned Supreme Court judges who were fired for their alleged discrimination against President Lucio Gutierrez's candidacy from returning to their offices.,0.8023
"Fannie Mae criminal probe begun Federal prosecutors in Washington have opened an investigation into possible wrongdoing at mortgage giant Fannie Mae, just days after regulators accused ",2,Business,Fannie Mae accused of misconduct probe opens FBI bureau in Washington just days after regulators accused the mortgage giant of wrongdoing.,0.8063
More African troops go to Darfur Germany sends three planes to Sudan's troubled Darfur region to help deploy more African Union troops.,0,World,Germany sends three planes to the troubled region of Darfur to support the deployment of more African troops.,0.9257
Last minute name change for Nvidia #39;s new GeForce 6200 with &lt;b&gt;...&lt;/b&gt; PCI Express allows Nvidia to tap into system memory to save expensive on-board graphics memory and achieve high performance at the same time.,3,Sci/Tech,Nvidia's new GeForce 6200 has been given the name with a last minute change that allows for the use of system memory to save on on-board graphics memory and maximize performance.,0.8386
Patent case challenges Microsoft #39;s  #39;AutoPlay #39; A federal judge has set a December date for a patent suit challenging  quot;AutoPlay quot; technology included in recent versions of Microsoft Windows.,3,Sci/Tech,"A federal judge has ruled in a patent case against Microsoft for the AutoPlay technology, paving the way for a lawsuit to be filed by December.",0.7935
"Pantano replaced by Glock Jordan have terminated the contract of Italian driver Giorgio Pantano and called in Timo Glock as a replacement. The team said contractual difficulties were behind the split, and confirmed German Glock would race in Sunday #39;s inaugural Chinese Grand Prix.",1,Sports,"Glock Jordan has replaced Giorgio Pantano and brought in Timo Glock as a replacement. The team has attributed the break in their contract to contractual issues, and Glock has confirmed that he will race in Sunday's Chinese Grand Prix.",0.9243
"Israel sends Syria tough message with Hamas strike Widening its pursuit of Hamas beyond the occupied territories, Israel reached into Damascus Sunday, dealing a blow to both Hamas and Syria.",0,World,Israel's military intervention in Damascus on Sunday discredited the country's efforts to bring Hamas back under control.,0.537
Africa fights AIDS with girl power A bill is currently in Uganda's parliament that would strengthen women's rights.,0,World,Uganda's parliament is currently considering a bill to support the fight against AIDS through girl power.,0.9031
Oil Eases on Profit-Taking  SINGAPORE (Reuters) - Oil prices slipped further from  record highs on Wednesday as traders locked in profits after  the market's \$10 surge since mid-August.,2,Business,Trading profits suffer as oil prices plummet from record highs after the market experienced a $10 rise since mid-August (Reuters).,0.6939
"Life without numbers in a unique Amazon tribe 11=2. Mathematics doesn #39;t get any more basic than this, but even 11 would stump the brightest minds among the Piraha tribe of the Amazon. ",3,Sci/Tech,"The Piraha tribe of the Amazon's sanitized population would struggle to understand their complex mathematics subject, even if they were gifted with numbers.",0.7238
British Energy to delist to save rescue plan Beleaguered British Energy has applied to delist its shares as it tries to stop shareholders from blocking a restructuring plan to keep the company in business.,2,Business,"To save the company from a collapse, British Energy is appealing to delist all shares and prevent shareholders from preventing the company's restructuring.",0.8278
"Army restricted ethnic recruits The British Army secretly restricted numbers of ethnic recruits, according to official files just released.",0,World,"Recently, the British Army began to restrict the number of ethnic recruits it would make, as per official records.",0.8533
"In Retaken Iraqi City, Perils Lurk U.S. forces have controlled Tall Afar since Sunday, after deadly battles last week. On Tuesday, soldiers, led by an Iraqi known as ""The Source,"" reopened the city and searched for insurgents.",0,World,"Perils Lurk U.S. forces have held Tall Afar, the Perils Looming City, since Sunday following fierce battles last week, when soldiers under the leadership of ""The Source"" reopened the city on Tuesday and began searching for insurgents.",0.8274
"Canning Zook could backfire on the Gators Florida long-snapper Casey Griffith let the secret slip while talking to a Fort Lauderdale (Fla.) Sun-Sentinel reporter this week:  quot;Don #39;t tell anyone I told you this, but someone inside the system told me they heard we #39;re going to be playing against ",1,Sports,"While conversing with a reporter from the Florida sun, Canning Zook may have been revealing details about the team's future opponents.",0.7542
"Hawks Evicted From New York City Perch (AP) AP - Pale Male the city hawk was evicted from his nest, and the flap has already begun.",3,Sci/Tech,"The hawk movement in New York City has been put on hold, resulting in the expulsion of the pooper male.",0.5869
"Quietly, tide of opinion turns on Chechen war Although discussion of the war has been marginalized, many experts say Russians may not prefer it that way.",0,World,"While discussing the war in Chechen conflict has been overlooked, some experts suggest that Russians may not be attracted to the war.",0.7398
Casino owners team up in Macao MACAO Publishing  amp; Broadcasting said Tuesday that it had bought a stake in Stanley Ho #39;s latest gambling project in Macao as Asia #39;s two leading casino operators team up to expand in the region.,2,Business,"As a result of the joint venture between Asia's top casino operators and Macao, MACAO Publishing amp; Broadcasting, a subsidiary of Hong Kong-based Stanley Ho, has purchased a stake in the company's latest gambling venture in Macay.",0.8766
Government to sell stake in oil business The Canadian government is getting out of the oil-and-gas business by selling off its stake in Petro-Canada for about \$3.1 billion.,2,Business,The Canadian government is divesting its stake in Petro-Canada for a sum of approximately $3.1 billion.,0.8239
SportsNetwork Game Preview (Sports Network) - Tim Wakefield tries for his first win in three starts this evening when the Boston Red Sox continue their three-game series with the Tampa Bay Devil Rays at Fenway Park.,1,Sports,"The Boston Red Sox and Tampa Bay Devil Rays will meet in their third game tonight at Fenway Park, with Tim Wakefield attempting to win his first game in as many games.",0.8111
"Nortel Cuts Fewer Jobs, Exits Real Estate  OTTAWA (Reuters) - Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.TO target=/stocks/quickinfo/fullquote""&gt;NT.TO&lt;/A&gt; on  Thursday said it would eliminate about 10 percent of its work  force, slightly less than previously estimated, and consolidate  real estate in a cost-cutting plan that will save \$500 million  in 2005.",2,Business,"On Thursday, Nortel Networks Corp. disclosed that it had cut off some jobs and would be reducing its workforce by a factor of 10, which is slightly below the initial projection of about 500,000, as part of a strategy to save $500 million on real estate costs.",0.8569
"P. Diddy Takes Vote Drive to Swing States (AP) AP - Hip-hop mogul Sean ""P. Diddy"" Combs is following the lead of President Bush and Sen. John Kerry by taking his get-out-the-vote campaign to the swing states.",0,World,"As a follower of President Bush and Sen. John Kerry, P. Diddy is taking his get-out-the-vote drive to the swing states.",0.8306
"Jacobs Engineering Names Watson Chairman Shares of the engineering company closed earlier down 37 cents, or just under 1 percent, at \$40.36 on the New York Stock Exchange.",2,Business,"The shares of Jacobs Engineering named Watson as their Chairman, resulting in a closing price of just below 1 percent at $40.36 on the New York Stock Exchange.",0.9284
Silvestre #39;s double goals help Man. United beat Liverpool Silvestre became Man. United #39;s hero as he scored twice to lift a 2-1 victory over Liverpool for home side when all eyes were on Rio Ferdinand as he returned after an eight-match ban on Monday.,1,Sports,"Despite a lengthy ban for three matches, Silvestre proved to be the star of the show as he scored twice to give Man. United a 2-1 win over Liverpool and put an end to Tottenham's exodus after their infamous eight-match ban.",0.7535
"Vodafone keen on future expansion Vodafone said today it remained keen on purchases in France, eastern Europe and Asia and Africa as it detailed annual cost cuts expected to reach 2.",2,Business,"Vodafone, with a focus on future expansion, is still enthusiastic about making purchases in France, eastern Europe, and Asia and Africa, as it has disclosed expected annual cost reductions of up to 2 percent.",0.8761
"Syracuse Guard Ruled Ineligible for Fall (AP) AP - Syracuse point guard Billy Edelin has been declared ineligible for the first semester of the academic year because he does not meet NCAA academic requirements, school officials said Tuesday.",1,Sports,Syracuse officials have announced on Tuesday that their point guard Billy Edelin will not be allowed to participate in the first semester of the academic year due to his failure to meet NCAA requirements.,0.8408
"Lego, Carrefour in French Price-Fix Probe (AP) AP - French competition authorities are investigating Danish toy maker Lego Systems AS and supermarket retailer Carrefour SA as part of a probe into alleged price fixing in the French toy market in 2002 and early 2003.",2,Business,"French competition regulators are looking into allegations of price fixing in the French toy market, with Lego Systems AS and Carrefour SA being the target of an investigation.",0.7277
"Mother of Jackson Accuser Testifies SANTA MARIA, Calif. - The mother of the boy accusing Michael Jackson of molestation testified Friday she does not remember a private investigator telling her that he was working for one of the pop star's attorneys, but believed he worked directly for the singer...",0,World,"The mother of Michael Jackson, the boy's mother, stated on Friday that she never heard a private investigator question him about being employed by a lawyer for the singer.",0.6299
Dollar Gains Vs Yen (Reuters) Reuters - The dollar rose to a five-week high\against the yen on Thursday as rising oil prices hurt Asian\currencies and the market decided that U.S. interest rates were\still on a rising path.,2,Business,"The yen experienced a five-week high against the dollar on Thursday, while the market continued to adjust to rising U.S. interest rates and oil prices.",0.827
Bernhard is off the list for key GM post General Motors Corp. won #39;t offer its top advanced vehicle development job to former Chrysler Group Chief Operating Officer Wolfgang Bernhard but likely will divvy it up instead ,2,Business,"The top position in advanced vehicle development at General Motors Corp. is not being held by former Chrysler Group Chief Operating Officer Wolfgang Bernhard, who is now not being considered for the position.",0.6572
"DaimlerChrysler, GM to team up on hybrid engines General Motors and DaimlerChrysler say they #39;re teaming up to develop hybrid technology for use in their vehicles. The two giant automakers say they have signed a memorandum of understanding.",2,Business,DaimlerChrysler and GM have agreed to collaborate on hybrid engine development for their vehicles.,0.8639
Terror is below radar in Russia It took 2 days for Russia #39;s security service to announce what virtually everyone else believed from the moment two domestic passenger airlines plunged to earth simultaneously ,0,World,"Russia's security service did not reveal the terror until two domestic passenger airlines grounded simultaneously, which was a two-day delay.",0.7594
Sudanese rebels squabble with government over ceasefire violations (AFP) AFP - Sudanese rebels walked away from African Union peace talks to hold a 24-hour boycott in protest at alleged government attacks on civilians in the war-torn western province of Darfur.,0,World,"Sudanese rebels strike a deal with the government over ceasefire violations, forcing them to abandon peace talks and boycott ongoing peace talks for a complete 24-hour boycott.",0.7139
"Strong Quake Hits Indonesian Island, Kills Six  JAKARTA (Reuters) - An earthquake measuring 6.0 on the  Richter scale shook an island in eastern Indonesia on Friday,  killing six people and injuring at least six more, a government  official said.",0,World,"According to a government official, a strong earthquake of magnitude 6.0 on the Richter scale has resulted in the deaths of six individuals on an Indonesian island in eastern Indonesia.",0.8832
Wariner Succeeds Johnson as 400 Meter Champion  ATHENS (Reuters) - American 400 meters champion Jeremy  Wariner succeeded Michael Johnson as the Olympic gold medallist  Monday with a personal best of 44.00 seconds.,1,Sports,"Jeremy Wariner, the American 400 meters champion, beats Michael Johnson to secure the Olympic gold medal by setting a personal best time of 44.00 seconds on Monday.",0.8479
Hayden walks into strife Spirit of Australia was on the skids last night after another example of double standards by the home side marred the opening day of the second cricket test against New Zealand in Adelaide.,1,Sports,"Last night, Hayden was left to squirmish after the home team's double standards were unacceptable during the opening day of the second cricket test against New Zealand.",0.5128
"HP Shifting Last of Itanium Engineers Hewlett-Packard Co. (HPQ.N: Quote, Profile, Research) and Intel Corp. (INTC.O: Quote, Profile, Research) on Wednesday ended their 10-year partnership to co-develop the Itanium chip ",3,Sci/Tech,"HPQ.N: Quote, Profile, Research and Intel Corp. (INTC.O: Quoted, Profile and Research) announced on Wednesday that they had ended their 10-year partnership to jointly develop the Itanium chip.",0.8863
"Guard registers a special point Gary Payton didn't know he had joined the 20,000-point club last night until the public address announcer at the FleetCenter trumpeted the feat.",1,Sports,"The public address announcer at FleetCenter at 7pm yesterday revealed that Gary Payton was unaware of his signing and 20,000-point count.",0.7547
ACC Loses 2 Ranked Teams; Big East Get 2 (AP) AP - The Atlantic Coast Conference's record run of seven ranked teams came to an end Monday.,1,Sports,"The ACC's runner-up, North Carolina's North Carolina Conference, lost two of its teams.",0.6469
"Britain Edges U.S. for 400M Relay Gold (AP) AP - Stymied by a sloppy handoff in the middle of the race, the United States lost to Great Britain by a hundredth of a second Saturday night in the 400-meter relay  #151; a race the American men usually dominate.",1,Sports,"Despite a sluggish handoff in the middle of the 400-meter relay, the United States lost to Great Britain by a hair's furthest on Saturday night, a win that was in the hands of the U.S. men.",0.8269
"Putin backs veto for members of expanded Security Council Russian President Vladimir Putin yesterday rejected a key recommendation of a United Nations panel on expanding the UN Security Council, saying any reform would be one-sided if new members did not have veto power.",0,World,"A key United Nations panel's recommendation for expanding the UN Security Council was dismissed by Russian President Vladimir Putin, who maintained that any reform would be stale without the presence of veto power.",0.8058
Closing Arguments In Enron Barge Trial Houston -- Prosecutors claim six executives conspired to push through a 1999 sham sale of barges because they didn #39;t think they #39;d get caught.,2,Business,The Enron Barge Trial in Houston ended on a high note as prosecutors claimed that six executives conspired to sell barges in 1999 because they didn't think they would be caught.,0.8647
Deal has S2io champing at the gigabit OTTAWA -- A local firm that says it can help shrink backup times at large data centres is growing its business thanks to an alliance with Sun Microsystems Inc.,2,Business,"The S2io space is expanding in Ottawa thanks to a partnership with Sun Microsystems Inc., which is helping to increase its involvement in reducing backup time at large data centers.",0.7506
"Alien Contact More Likely by  quot;Mail quot; Than Radio, Study Says Researchers behind the study speculate that other life-forms may have already sent us messages, perhaps even as organic material embedded in asteroids that have struck Earth.",3,Sci/Tech,"According to a study, the possibility exists that aliens have communicated with us as embedded material in asteroids that have impacted Earth, as suggested by researchers.",0.7559
"Huskies fail 1st road test This so-called rivalry might be worth saving after all. UMass finally got one Thursday night. And the Minutemen did it in exciting fashion, one that totally disgusted Jim Calhoun.",1,Sports,"The Huskies' first road test failure is a reason to rejoice, as it made a strong impression on Jim Calhoun.",0.7746
"Five Killed in Al Qaeda Jailbreak in Kabul  KABUL (Reuters) - Three Afghan prison guards and two  prisoners were killed in a jail break attempt by al Qaeda  inmates Friday and a shoot-out was going on between police and  another two, the chief of Kabul's Pul-i-Charki prison told  Reuters.",0,World,"The leader of Kabul's Pul-i-Charki prison informed Reuters that three Afghan prison guards and two prisoners were killed during a jail break attempt by al Qaeda inmates, and a gun battle was ongoing between police and another two of them.",0.8745
"Deutsche Bank to Sell Scudder Business to Legg Mason Deutsche Bank AG of Germany plans to sell its New York, Philadelphia, Cincinnati and Chicago offices of Scudder Private Investment Counsel to Legg Mason Inc. for \$55 million, plus payments of up to \$26 million, the company said Monday.",2,Business,"The sale of Scudder Business to Legg Mason Inc. for $55 million, along with payments of up to £26 million, is being discussed by German insurance company Deutsche Bank on Monday.",0.8372
"Death Toll 69 in Japan Typhoon, 19 Still Missing  TOKYO (Reuters) - As the death toll rose from Japan's  deadliest typhoon in two decades, experts warned on Friday that  climate change could bring a stormier future.",0,World,"The death toll in Japan's typhoon that took place two decades ago has reached 69, and 19 others are still missing, indicating that climate change may cause a more bruising future for the country.",0.8386
"Thomson beats the Street on core strengths Thomson Corp., a provider of information services that was once Canada #39;s largest newspaper publisher, sailed past Street forecasts in its latest quarterly results released Tuesday.",2,Business,"Thomson Corp., the former largest newspaper publisher in Canada, outperformed the Street's core strengths in its most recent quarterly results released on Tuesday.",0.743
"Kerry's wife paid 798,820 dollars in state, federal taxes in 2003 (AFP) AFP - Teresa Heinz Kerry, wife of Democratic presidential candidate John Kerry, declared 2,291,137 dollars in gross taxable income in 2003 and paid 798,820 dollars in state and federal taxes, or about 35 percent, her office said in a statement.",0,World,"In 2003, Teresa Heinz Kerry, the wife of Democratic presidential candidate John Kerry, paid 798,820 dollars in state and federal taxes, which amounted to around 35 percent of her total taxable income.",0.9533
India must recognize international realities: PM Prime Minister Manmohan Singh has responded to the Left #39;s criticism of his congratulatory call to US President George W. Bush by saying India must recognise international realities.,0,World,"India must acknowledge global realities, as suggested by Manmohan Singh in response to criticism from the Left regarding his recent congratulatory call to US President George W. Bush.",0.8745
"Car Bomb Kills Three in Mosul (AP) AP - A car bomb exploded in the northern Iraq city of Mosul on Monday, killing three people, hospital police said.",0,World,"A bomber detonated in a car in Mosul, northern Iraq, resulting in the deaths of three individuals, as reported by hospital authorities on Monday.",0.7807
"At Least Five Dead in Russia Mine Blast (Reuters) Reuters - At least five miners were killed and 14\injured in a blast in a coal mine in Russia's Siberia, the\Emergencies Ministry said on Thursday.",0,World,The Emergency Ministry announced on Thursday that at least five miners were killed and 14 were injured in an explosion at a coal mine in Siberia.,0.8372
"We owe Athens an apology ATHENS -- The Games of the XXVIII Olympiad -- the great disaster that wasn #39;t -- come to an emotional end this afternoon and, really, the world owes Athens an apology.",1,Sports,The Olympic Committee of the Ancient Roman Empire declared itself an 'eternal disgrace' Athens is owed an apology for the calamitous loss it caused attracted to the Games of the XXVIII Olympiad this afternoon.,0.763
"Gates Says Broadcast TV Model Faces Irrelevancy Bill Gates predicts a\future for the entertainment industry in which traditional\broadcast television is rendered irrelevant. It's a positive\vision, however, because new and better business models made\possible by technology are emerging.",3,Sci/Tech,"Bill Gates believes that the traditional broadcast television model may have lost its relevance in the future, but new business models that can be successful are being developed through technological advancements.",0.7908
"Cardinals to Play Broncos Boise State accepts a bid Tuesday to play Louisville in the Liberty Bowl on Dec. 31, in a matchup of the nation's top two offenses.",1,Sports,"The Cardinals have agreed to play against the Broncos in the Liberty Bowl on Dec. 31, in a matchup of the two best offenses in America.",0.7031
"Project Megagrid shows off business side of grid Hoping to prove that grid computing can work in the business world, Dell, EMC, Intel and Oracle have announced a joint effort designed to show business users how to use the distributed computing technology.",3,Sci/Tech,"Dell, EMC, Intel, and Oracle have announced Project Megagrid, a program that aims to demonstrate the practical use of distributed computing technology to business users.",0.8788
"Oracle chairman says can close gap with SAP - report Oracle Corp can close the gap with SAP, the world #39;s biggest software company, after buying US rival PeopleSoft, Oracle #39;s Chairman Jeff Henley said in an interview published on Wednesday.",2,Business,"Oracle's Chairman, Jeff Henley, announced in an interview that the company could close the gap with SAP, the world's largest software company.",0.863
"Ig Nobel awards honor weird science advances If a herring asks you to pull his finger, be very afraid. Thats one of the lessons derived from this years Ig Nobel awards ceremony, an event that honors offbeat scientific achievements.",3,Sci/Tech,"The Ig Nobel awards celebrate unconventional scientific discoveries, and if a herring asks for your finger, you should be anxious. This year's ceremony emphasized scientific achievements.",0.8944
"US Sprinter Pulled From Relay for Marijuana Violation Less than two hours before the Olympic men #39;s 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by ",1,Sports,"The United States Coach, George Williams, caused John Capel to be removed from the 400-meter relay semifinal, which was less than two hours before the medal ceremony.",0.692
"Jerry Graybeal quits as Weber State coach OGDEN, Utah -- Weber State football coach Jerry Graybeal resigned Tuesday after a 1-10 season, the worst in the program #39;s 43-year history.",1,Sports,"Jerry Graybeal resigned from his position as Weber State coach in OGDEN, Utah, on Tuesday, having had the worst season in the program's 43-year history with 1-10 seasons.",0.9494
"Huskies blank Buffalo Dan Orlovsky threw for 283 yards and a touchdown in his final home game yesterday to lead Connecticut to a 29-0 victory over Buffalo, assuring the Huskies of a winning record and making them eligible for a bowl bid.",1,Sports,"In his last game with the Huskies, Dan Orlovsky threw for 283 yards and a touchdown, leading Connecticut to a 29-0 victory over Buffalo and ensuring a bowl bid.",0.8776
"Cisco, Fujitsu team on high-end networking Fujitsu has joined the networking parade by agreeing to sell Cisco #39;s high-end routers and switches in Japan. It should come as no surprise as the market for high-end routers heats up.",3,Sci/Tech,Fujitsu has entered the Japanese networking market by partnering with Cisco to offer their high-end routers and switches.,0.8303
AU OKs more troops for Darfur; talks resume Sudan #39;s government and Darfur rebels are likely to restart talks Thursday as the African Union said it would increase its forces in the restive region.,0,World,"The African Union has authorized the deployment of more troops to Sudan, and it is expected that the government will resume talks on the issue.",0.7461
"Only injury can stop peerless Federer at Masters Cup Last season, Roger Federer left Houston not even the top-ranked player of the year. He returns to the Westside Tennis Club next week to defend his Masters Cup title as the most ",1,Sports,"The only thing that can put a dent in Federer's season is that he was unable to complete his Masters Cup residency due to injury. He will now be playing at the Westside Tennis Club next week to defend his Masters Trophy title, which he previously secured last year.",0.804
"North Korea Seen as Tying Nuclear Talks to US Election North Korea is waiting out the American presidential election in order to bargain with the winner over its nuclear weapons program, according to analysts here and a British diplomat who left Pyongyang today.",0,World,"The North Koreans are believed to be tying nuclear talks to the US presidential election, according to sources, as they negotiate with the winner to resolve the issue of nuclear weapons.",0.8409
TV's Passport Stamp of Approval The sixth season of a popular reality television show is ready to rock the world.,2,Business,The sixth season of a prestigious reality TV program is poised to sway the nation.,0.6793
"Bud Selig Has Skin Cancer Surgery NEW YORK -- Baseball commissioner Bud Selig had surgery Monday to remove a cancerous lesion from his forehead. The lesion was detected last month during Selig #39;s annual physical, and a biopsy confirmed that it contained melanoma, a form of skin cancer.",1,Sports,"A lesion on his forehead was discovered during Bud Selig's annual physical examination, and a biopsy confirms the presence of melanoma, a type of skin cancer.",0.8756
"Immigrants settled in big cities, but less likely to find work: StatsCan (Canadian Press) Canadian Press - OTTAWA (CP) - Most of the nearly two million immigrants who arrived in Canada during the 1990s settled in one of the country's 27 census metropolitan areas, but still found it harder to find work than natural-born citizens, Statistics Canada reported Wednesday.",0,World,"Statistics Canada revealed that nearly 2 million immigrants who arrived in Canada during the 1990s had difficulty finding work, despite primarily settling in major cities, in a metropolitan area where they were less likely to be employed than natural-born citizens.",0.8973
"Bad weather blamed for Indon crash BAD weather was the main cause of an accident which killed 26 people aboard an airplane whose spoiler did not work well, Indonesian investigators said today.",0,World,"According to investigators in Indonesia, the crash that occurred in the crash site in Indon was a result of poor weather, which was cited as the main reason for the deaths of 26 people on the plane that was damaged by faulty spoilers.",0.8776
Musharraf visits Afghanistan Pakistani President General Pervez Musharraf on his visit after the landmark presidential polls in Afghanistan congratulated his Afghan counterpart Hamid Karzai for his victory Saturday afternoon.,0,World,Pakistani President General Pervez Musharraf is seen in Afghanistan congratulating his Afghan counterpart Hamid Karzai on the outcome of the historic presidential polls on Saturday afternoon.,0.8886
"Nortel financial filings could be delayed into 2005 Less than a week after it launched a media blitz to boost its image, Nortel Networks Ltd. postponed yet again the release of its financial statements, underlining the company #39;s challenges to steer out of the ",2,Business,"Nortel Networks Ltd. is threatening to postpone the publication of its financial filings into 2005, following a media campaign that dragged the company out of the spotlight.",0.8243
"Leeds students figure high on working curve Undergraduates in the city earn more than 90 a week on average, just behind Glasgow, Cambridge and Cardiff. Their hard-earned cash is likely to be spent on looking good and socialising, the ",2,Business,"The working age of Leeds undergraduates is approximately 45,818 per week, and they earn just above 90 per week in Glasgow, Cambridge, and Cardiff. Hence, their efforts should be directed towards socializing and personal hygiene, as it is known that these activities do not necessarily lead to more money.",0.8307
Hosted E-Mail Service Leaves Windows for Linux Company outsources e-mail for small to medium businesses.,3,Sci/Tech,Outsourcing e-mail services to small to medium businesses is the purpose of the Hosted E-Mail Service for Linux Company.,0.8424
"Plans for new Beagle trip to Mars The team behind Beagle 2, the failed mission to land on Mars and search for life, have unveiled plans for a successor. Professor Colin Pillinger, lead ",3,Sci/Tech,The crew responsible for the failed Beagle 2 mission to reach Mars and uncover its inhabitants has revealed plans for a new journey.,0.8451
